                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.782,                 3.7746,                 1.0543,                0.01533,                0.33333,                0.01233,                0.00736,                 1.3355,                 3.6136,                0.90439,                  6e-05,                  6e-05,                  6e-05
                      2,                  1.549,                 3.3366,                0.94857,                  0.036,                0.78261,                 0.0535,                 0.0274,                 1.5394,                 3.4647,                0.94832,             0.00013861,             0.00013861,             0.00013861
                      3,                    1.8,                 2.2913,                 0.9245,                0.03867,                0.84058,                0.08866,                0.03286,                 1.6774,                 3.2976,                 0.9654,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.4992,                 1.7455,                0.91205,                0.04067,                0.88406,                0.36876,                0.19916,                 1.5958,                 2.9843,                0.93008,             0.00029109,             0.00029109,             0.00029109
                      5,                  1.556,                 1.4161,                0.93094,                0.04067,                0.88406,                 0.3056,                0.18312,                 1.3562,                 2.9657,                0.90349,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.5124,                 1.2593,                0.91722,                   0.04,                0.86957,                0.11989,                0.06894,                 1.3284,                 2.9397,                0.89469,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.5493,                 1.2834,                0.90905,                0.04133,                0.89855,                0.05338,                0.02441,                 1.7319,                 2.9074,                0.94729,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.6115,                 1.2568,                0.93189,                  0.042,                0.91304,                0.05882,                0.02797,                 1.5392,                 2.8946,                0.91653,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4437,                 1.1136,                0.90845,                  0.042,                0.91304,                0.07741,                0.03958,                 1.4561,                 2.9361,                0.90434,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.4441,                 1.0842,                0.90182,                0.03533,                0.76812,                0.20028,                 0.0755,                  1.722,                  2.963,                0.93298,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.5614,                 1.0802,                0.92517,                0.03533,                0.76812,                0.48422,                0.24586,                 1.6308,                 2.8181,                0.90712,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.4628,                 1.0555,                0.93077,                      1,                0.42361,                0.66974,                0.27766,                 1.5803,                 2.6891,                0.90057,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.4422,                0.98735,                0.90906,                0.04803,                0.82609,                0.65676,                0.26911,                 1.5117,                 2.7361,                0.89854,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.5586,                 1.0126,                0.89455,                0.06193,                0.76812,                0.64791,                 0.3019,                   1.41,                 2.6684,                0.89591,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.4148,                0.92437,                0.89486,                0.86162,                0.65217,                0.78185,                0.42989,                 1.3915,                 2.4001,                 0.9211,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.3997,                0.93072,                0.90399,                0.82179,                0.71014,                0.79004,                 0.4757,                 1.2456,                 2.3114,                0.89285,              0.0010729,              0.0010729,              0.0010729
                     17,                 1.4851,                0.95683,                0.93554,                0.91773,                0.32346,                0.81383,                0.48441,                 1.2914,                 2.1637,                0.88083,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.4742,                0.88944,                0.88556,                      1,                0.30963,                0.85462,                0.41949,                 1.5364,                 2.1511,                0.90509,               0.001181,               0.001181,               0.001181
                     19,                 1.3128,                0.88712,                0.91158,                0.46451,                0.23897,                0.45679,                0.24191,                 1.3394,                 2.3764,                0.89585,              0.0012327,              0.0012327,              0.0012327
                     20,                 1.4674,                0.92782,                0.91811,                0.84392,                0.31358,                0.58693,                0.32129,                 1.3327,                 2.4069,                0.90671,              0.0012828,              0.0012828,              0.0012828
                     21,                 1.5137,                0.92402,                0.91038,                0.95553,                 0.6228,                0.90835,                0.45416,                 1.5332,                 1.8346,                0.91172,              0.0013313,              0.0013313,              0.0013313
                     22,                 1.3804,                0.91389,                0.90494,                0.92418,                0.70664,                0.87023,                0.41693,                 1.6441,                 1.6738,                0.93133,              0.0013783,              0.0013783,              0.0013783
                     23,                  1.548,                0.92073,                0.89454,                0.89099,                0.71071,                0.87458,                0.47634,                 1.4805,                 1.7323,                0.89653,              0.0014236,              0.0014236,              0.0014236
                     24,                 1.3827,                0.89814,                0.91896,                0.90378,                0.68068,                0.87573,                0.46224,                 1.4785,                 1.6401,                0.89761,              0.0014674,              0.0014674,              0.0014674
                     25,                 1.2554,                0.85036,                0.88589,                0.92221,                 0.7971,                0.92269,                0.41409,                 1.6283,                 1.3783,                0.92358,              0.0015096,              0.0015096,              0.0015096
                     26,                 1.4995,                0.87826,                0.93091,                0.90033,                0.84058,                0.90073,                0.45207,                 1.3981,                 1.2836,                0.87541,               0.001505,               0.001505,               0.001505
                     27,                 1.2726,                0.82865,                0.89849,                 0.9023,                0.85507,                0.90256,                0.50592,                 1.3247,                 1.3092,                0.87185,               0.001505,               0.001505,               0.001505
                     28,                  1.387,                0.82329,                0.91652,                0.85856,                 0.7918,                0.87041,                0.49326,                 1.4905,                 1.2785,                0.88951,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3964,                0.81994,                0.89733,                0.88112,                0.85942,                0.90767,                0.42879,                 1.7802,                 1.2605,                  0.967,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.5832,                0.89251,                 0.9313,                0.87762,                0.83148,                0.89633,                 0.4712,                 1.5308,                 1.3271,                0.91268,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.3938,                0.80728,                0.89062,                0.87124,                0.78456,                 0.8751,                0.55865,                 1.1906,                 1.3732,                0.85243,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.3393,                0.84077,                0.92689,                0.86914,                0.77006,                0.86849,                0.54273,                 1.2266,                 1.2776,                 0.8605,               0.001406,               0.001406,               0.001406
                     33,                 1.3558,                0.89024,                 0.8975,                0.88187,                0.86957,                0.85732,                0.42828,                 1.5448,                 1.2332,                0.91055,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.3863,                0.82862,                 0.8914,                0.89102,                 0.8295,                0.86933,                0.45447,                 1.4772,                 1.2125,                 0.9016,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.3395,                0.81991,                0.89112,                0.94297,                0.81159,                0.88385,                0.53797,                 1.1988,                 1.0836,                0.86524,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3543,                0.80468,                0.92087,                0.85606,                0.86202,                0.88462,                0.54224,                 1.2204,                0.95048,                0.86605,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2998,                0.83124,                0.85985,                0.88277,                0.88406,                0.89348,                0.54442,                 1.2421,                0.90009,                0.86778,               0.001307,               0.001307,               0.001307
                     38,                 1.3346,                0.82445,                0.87465,                0.90732,                0.86957,                0.91621,                0.50781,                 1.3688,                0.96725,                0.88883,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2506,                0.74058,                 0.8742,                0.90829,                0.86129,                0.92442,                0.50888,                 1.4256,                0.98575,                0.89542,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3101,                0.74856,                0.88889,                0.96534,                0.80738,                0.92805,                0.54911,                 1.3448,                0.93749,                0.88993,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1973,                0.73403,                 0.8752,                0.95051,                0.83504,                0.92067,                0.56385,                 1.3414,                0.87449,                0.88332,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2026,                 0.7691,                0.86879,                0.89871,                0.84058,                0.90706,                0.56592,                 1.2492,                0.83698,                0.86264,               0.001208,               0.001208,               0.001208
                     43,                  1.214,                 0.7404,                0.87538,                0.89277,                0.86957,                0.90727,                0.58968,                 1.2776,                0.78623,                0.87678,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2082,                0.74645,                0.87274,                0.92416,                0.88301,                0.92565,                0.56032,                 1.4221,                0.80192,                 0.9047,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2821,                0.74756,                0.86717,                0.95826,                0.84058,                0.92944,                0.50771,                 1.6417,                0.85982,                0.94201,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2297,                0.73294,                0.87602,                0.90258,                0.94203,                 0.9322,                0.47909,                 1.6512,                0.85579,                0.94579,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2179,                0.71062,                 0.8653,                0.90132,                0.94203,                0.92948,                0.51325,                 1.4904,                  0.836,                0.91072,               0.001109,               0.001109,               0.001109
                     48,                 1.1827,                 0.7005,                0.85447,                0.87697,                0.94203,                0.92997,                0.52826,                 1.4318,                0.81096,                0.89402,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1019,                0.68767,                0.86237,                0.89792,                0.94203,                0.92995,                0.45319,                 1.6567,                0.89621,                0.93145,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2125,                0.72127,                0.88118,                0.94185,                0.93897,                0.93145,                0.42781,                 1.7014,                0.85679,                0.95275,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.156,                0.67968,                0.86175,                0.91541,                0.94099,                0.92491,                0.50911,                 1.4622,                0.75779,                0.91782,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0456,                0.64485,                0.87387,                0.92659,                0.89855,                0.92329,                0.59551,                 1.2316,                0.71123,                0.87147,                0.00101,                0.00101,                0.00101
                     53,                 1.1718,                0.66851,                0.84912,                0.91258,                0.90781,                0.91885,                 0.5981,                 1.2143,                0.72858,                0.85908,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1408,                0.65193,                0.86464,                0.91371,                0.89855,                0.91786,                0.60662,                 1.1697,                0.74238,                0.84687,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0998,                0.65069,                0.85952,                0.91223,                0.91304,                0.91773,                0.62612,                 1.1037,                0.72387,                 0.8398,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1289,                0.67376,                0.86635,                 0.9048,                0.89855,                 0.9206,                0.63578,                 1.0702,                0.70668,                0.83018,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1498,                0.65664,                0.85284,                0.91061,                0.91304,                0.92103,                0.63511,                 1.0582,                0.69729,                0.83096,               0.000911,               0.000911,               0.000911
                     58,                 1.0768,                0.63456,                0.84032,                0.91591,                0.91304,                0.92106,                 0.6303,                 1.0711,                0.69415,                0.83211,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1336,                0.62988,                0.83983,                0.90902,                0.91304,                0.92347,                0.64593,                 1.0243,                 0.6709,                0.82823,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0379,                0.62634,                0.85022,                0.89658,                0.91304,                 0.9222,                0.65393,                 1.0065,                0.65468,                  0.831,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1869,                0.67283,                0.85155,                0.90952,                0.91304,                0.92991,                0.64895,                 1.0184,                0.65363,                0.84422,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0794,                0.61382,                0.84896,                0.89554,                0.91304,                0.92168,                0.63816,                 1.0879,                0.68534,                0.85059,               0.000812,               0.000812,               0.000812
                     63,                 1.1083,                0.62607,                0.85438,                0.87406,                0.92754,                0.92289,                0.64446,                 1.0644,                0.67991,                0.84989,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0108,                0.61185,                0.85416,                 0.8962,                0.87598,                0.91852,                0.64696,                 1.0028,                0.66016,                0.83934,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0812,                0.61263,                0.84481,                 0.8638,                0.91922,                0.91753,                0.65384,                 1.0066,                 0.6576,                0.83881,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0924,                0.62511,                0.87275,                0.88703,                0.92754,                0.92018,                0.66172,                0.98568,                0.64304,                0.83102,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0381,                0.59609,                 0.8577,                0.89825,                0.91304,                 0.9166,                0.62458,                 1.1197,                0.67904,                0.84263,               0.000713,               0.000713,               0.000713
                     68,                 1.0496,                0.59067,                0.83813,                 0.8871,                  0.911,                 0.9165,                0.62833,                 1.1145,                0.67297,                0.84378,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0772,                0.61462,                0.85453,                0.86896,                0.89855,                0.91484,                0.66031,                0.98759,                0.65089,                0.83012,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0412,                0.61032,                0.84687,                0.89368,                0.85281,                0.89473,                 0.6428,                 1.0021,                0.66978,                0.83865,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.032,                0.60497,                0.84638,                0.91944,                0.82702,                0.89654,                0.62897,                 1.0403,                0.68671,                0.84648,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0614,                0.62804,                0.85961,                0.88044,                0.89855,                0.92437,                 0.6584,                 0.9985,                 0.6683,                0.83942,               0.000614,               0.000614,               0.000614
                     73,                 1.0351,                 0.6054,                0.86474,                0.94677,                0.84058,                0.91763,                0.67311,                0.98709,                0.64298,                0.83477,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1109,                0.60168,                0.84276,                0.96548,                0.84058,                0.91929,                0.66736,                 1.0082,                0.63309,                0.83901,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0144,                0.57306,                0.85511,                0.93878,                0.85507,                0.92074,                 0.6652,                 1.0091,                0.61439,                0.84174,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.9653,                0.56885,                0.84926,                0.88682,                0.90849,                 0.9181,                0.65733,                 1.0317,                0.61622,                0.84428,              0.0005348,              0.0005348,              0.0005348
                     77,                0.98955,                0.57871,                0.85003,                0.92692,                0.88406,                0.92716,                0.61694,                 1.1309,                0.63895,                0.85063,               0.000515,               0.000515,               0.000515
                     78,                 1.0025,                0.57583,                0.84325,                0.91739,                0.88406,                0.92893,                0.59297,                 1.2007,                0.66701,                0.85649,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0135,                0.58054,                0.84821,                0.91369,                0.92059,                 0.9359,                0.57199,                 1.2646,                0.68353,                0.86093,              0.0004754,              0.0004754,              0.0004754
                     80,                0.98166,                0.56258,                0.84693,                0.91398,                0.92393,                0.93983,                0.60164,                  1.181,                 0.6645,                0.85359,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1217,                 0.6104,                0.85168,                0.90507,                0.92754,                0.94046,                0.59658,                 1.1851,                0.65758,                0.85685,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0539,                 0.5874,                0.83289,                 0.9087,                0.92754,                0.93968,                0.60689,                 1.1567,                0.64164,                 0.8574,               0.000416,               0.000416,               0.000416
                     83,                 1.0766,                0.60917,                0.84677,                0.92722,                0.92325,                0.94016,                0.59361,                 1.1779,                0.64325,                 0.8615,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.9541,                0.55504,                0.85133,                 0.9274,                0.92563,                0.94108,                0.56956,                 1.2402,                0.65332,                0.86682,              0.0003764,              0.0003764,              0.0003764
                     85,                0.99751,                0.57789,                0.83789,                0.92743,                0.92604,                0.94309,                0.56972,                 1.2943,                0.67122,                0.86984,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0162,                 0.5709,                0.84342,                 0.9116,                0.92754,                0.94618,                0.56219,                 1.2927,                0.69228,                0.86784,              0.0003368,              0.0003368,              0.0003368
                     87,                0.97812,                0.56169,                0.82996,                0.92532,                0.91304,                0.94464,                0.59463,                 1.1897,                0.68453,                 0.8546,               0.000317,               0.000317,               0.000317
                     88,                0.97402,                0.54846,                0.83695,                0.91042,                0.91304,                0.95108,                0.61481,                 1.1117,                0.68315,                0.84228,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0663,                0.58739,                0.84815,                0.90637,                0.91304,                 0.9475,                0.64766,                 1.0235,                0.65954,                0.82896,              0.0002774,              0.0002774,              0.0002774
                     90,                0.95169,                0.54892,                0.82859,                0.89798,                0.91304,                0.94427,                0.67613,                0.99054,                0.63617,                0.82258,              0.0002576,              0.0002576,              0.0002576
                     91,                0.94936,                0.61357,                0.84041,                0.86242,                0.92754,                 0.9395,                0.66907,                0.97961,                0.62661,                0.81997,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0068,                0.61536,                0.85863,                0.89645,                0.91304,                0.94157,                0.67078,                0.96965,                 0.6172,                0.81741,               0.000218,               0.000218,               0.000218
                     93,                0.94303,                0.56684,                0.84741,                0.89951,                0.90817,                0.94497,                 0.6764,                0.97158,                0.61305,                0.81425,              0.0001982,              0.0001982,              0.0001982
                     94,                0.94351,                0.55947,                0.83832,                0.90963,                0.91304,                0.94634,                0.66639,                0.97277,                0.60961,                0.81382,              0.0001784,              0.0001784,              0.0001784
                     95,                0.98511,                0.55714,                0.83755,                0.90405,                0.91304,                0.94591,                0.66701,                0.97224,                0.60923,                0.81657,              0.0001586,              0.0001586,              0.0001586
                     96,                0.88633,                0.54687,                0.83171,                0.89639,                0.91304,                0.94455,                0.67098,                0.96277,                0.61032,                0.82177,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0169,                0.61587,                0.82789,                0.89907,                0.90376,                0.94431,                0.66977,                0.95956,                0.61063,                0.82211,               0.000119,               0.000119,               0.000119
                     98,                0.87527,                0.54878,                0.82664,                0.87649,                0.92563,                0.94393,                0.66201,                0.96482,                 0.6112,                0.82225,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.91642,                 0.5362,                 0.8328,                0.87653,                0.92599,                0.94292,                0.66409,                0.96801,                0.60795,                0.82295,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.91931,                0.52564,                0.83178,                0.91057,                0.89855,                0.94125,                0.66474,                0.96937,                0.60656,                0.82263,               5.96e-05,               5.96e-05,               5.96e-05
